"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"MoeiteMetRondkomen_32"
"136";"20300";"MW00000";"BU16800800";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"137";"20300";"MW00000";"BU16800800";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"138";"20300";"MW00000";"BU16800800";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"139";"20300";"MW00000";"BU16800800";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"140";"20300";"MW00000";"BU16800809";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"141";"20300";"MW00000";"BU16800809";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"142";"20300";"MW00000";"BU16800809";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"143";"20300";"MW00000";"BU16800809";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"144";"20300";"MW00000";"BU16800809";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"145";"20300";"MW00000";"WK168009  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"146";"20300";"MW00000";"WK168009  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"147";"20300";"MW00000";"WK168009  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"148";"20300";"MW00000";"WK168009  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"149";"20300";"MW00000";"WK168009  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"150";"20300";"MW00000";"BU16800900";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"151";"20300";"MW00000";"BU16800900";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"152";"20300";"MW00000";"BU16800900";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"153";"20300";"MW00000";"BU16800900";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"154";"20300";"MW00000";"BU16800900";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"155";"20300";"MW00000";"BU16800909";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800909";
"156";"20300";"MW00000";"BU16800909";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800909";
"157";"20300";"MW00000";"BU16800909";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800909";
"158";"20300";"MW00000";"BU16800909";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800909";
"159";"20300";"MW00000";"BU16800909";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800909";
"160";"20300";"MW00000";"WK168011  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168011  ";"22.4"
"161";"20300";"MW00000";"WK168011  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168011  ";"17.6"
"162";"20300";"MW00000";"WK168011  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168011  ";"10.7"
"163";"20300";"MW00000";"WK168011  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168011  ";"16.4"
"164";"20300";"MW00000";"WK168011  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168011  ";"13.7"
"165";"20300";"MW00000";"BU16801100";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801100";"22.4"
"166";"20300";"MW00000";"BU16801100";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801100";"17.6"
"167";"20300";"MW00000";"BU16801100";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801100";"10.8"
"168";"20300";"MW00000";"BU16801100";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801100";"16.4"
"169";"20300";"MW00000";"BU16801100";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801100";"13.8"
"170";"20300";"MW00000";"BU16801109";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801109";
"171";"20300";"MW00000";"BU16801109";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801109";
"172";"20300";"MW00000";"BU16801109";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801109";
"173";"20300";"MW00000";"BU16801109";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801109";
"174";"20300";"MW00000";"BU16801109";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801109";
"175";"20300";"MW00000";"WK168012  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168012  ";"34.3"
"176";"20300";"MW00000";"WK168012  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168012  ";"24.8"
"177";"20300";"MW00000";"WK168012  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168012  ";"14.7"
"178";"20300";"MW00000";"WK168012  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168012  ";"20.8"
"179";"20300";"MW00000";"WK168012  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168012  ";"15.3"
"180";"20300";"MW00000";"BU16801200";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801200";"32.5"
"181";"20300";"MW00000";"BU16801200";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801200";"22.8"
"182";"20300";"MW00000";"BU16801200";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801200";"14.5"
"183";"20300";"MW00000";"BU16801200";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801200";"20.1"
"184";"20300";"MW00000";"BU16801200";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801200";"14.7"
"185";"20300";"MW00000";"BU16801209";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801209";
"186";"20300";"MW00000";"BU16801209";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801209";
"187";"20300";"MW00000";"BU16801209";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801209";
"188";"20300";"MW00000";"BU16801209";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801209";
"189";"20300";"MW00000";"BU16801209";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801209";
"190";"20300";"MW00000";"WK168013  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168013  ";"16.9"
"191";"20300";"MW00000";"WK168013  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168013  ";"16.4"
"192";"20300";"MW00000";"WK168013  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168013  ";"6"
"193";"20300";"MW00000";"WK168013  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168013  ";"10.2"
"194";"20300";"MW00000";"WK168013  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168013  ";"5.9"
"195";"20300";"MW00000";"BU16801300";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801300";
"196";"20300";"MW00000";"BU16801300";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801300";
"197";"20300";"MW00000";"BU16801300";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801300";
"198";"20300";"MW00000";"BU16801300";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801300";
"199";"20300";"MW00000";"BU16801300";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801300";
"200";"20300";"MW00000";"BU16801309";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801309";
"201";"20300";"MW00000";"BU16801309";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801309";
"202";"20300";"MW00000";"BU16801309";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801309";
"203";"20300";"MW00000";"BU16801309";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801309";
"204";"20300";"MW00000";"BU16801309";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801309";
"205";"20300";"MW00000";"WK168014  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168014  ";"21.2"
"206";"20300";"MW00000";"WK168014  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168014  ";"17.5"
"207";"20300";"MW00000";"WK168014  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168014  ";"10.2"
"208";"20300";"MW00000";"WK168014  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168014  ";"15.9"
"209";"20300";"MW00000";"WK168014  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168014  ";"10.6"
"210";"20300";"MW00000";"BU16801400";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801400";"20.3"
"211";"20300";"MW00000";"BU16801400";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801400";"16.1"
"212";"20300";"MW00000";"BU16801400";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801400";"9.5"
"213";"20300";"MW00000";"BU16801400";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16801400";"15.5"
